,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
2263,28 Weeks Later,01-10-2007,Color,Drama,English,UK,R,Jeremy Renner,Juan Carlos Fresnadillo,10000.0,11471,35,0,7.0,274.0,100.0,28637507,15000000,0.7012987012987012,0.0002898238193873322
2264,3:10 to Yuma,30-01-2007,Color,Adventure,English,USA,R,Christian Bale,James Mangold,23000.0,33548,446,0,7.8,295.0,122.0,53574088,55000000,0.805194805194805,0.0006450147720985165
2265,30 Days of Night,06-11-2007,Color,Horror,English,USA,R,Danny Huston,David Slade,430.0,814,171,0,6.6,304.0,113.0,39568996,32000000,0.6493506493506492,0.0001942747159539413
2266,"4 Months, 3 Weeks and 2 Days",09-06-2007,Color,Drama,Romanian,Romania,Not Rated,Anamaria Marinca,Cristian Mungiu,131.0,264,163,14000,7.9,233.0,113.0,1185783,590000,0.8181818181818181,0.0007128515678524725
2267,88 Minutes,12-10-2007,Color,Crime,English,USA,R,Al Pacino,Jon Avnet,14000.0,16722,50,0,5.9,158.0,108.0,16930884,30000000,0.5584415584415584,9.647396884097779e-05
2268,A Mighty Heart,28-01-2007,Color,Biography,English,USA,R,Angelina Jolie Pitt,Michael Winterbottom,11000.0,12178,187,923,6.7,190.0,108.0,9172810,16000000,0.6623376623376622,0.00021470676618970307
2269,Across the Universe,11-07-2007,Color,Drama,English,USA,PG-13,Jim Sturgess,Julie Taymor,5000.0,5405,278,14000,7.4,156.0,133.0,24343673,45000000,0.7532467532467533,0.0004323663317267452
2270,Aliens vs. Predator: Requiem,16-06-2007,Color,Action,English,USA,R,Sam Trammell,Colin Strause,1000.0,4324,25,0,4.7,211.0,102.0,41797066,40000000,0.40259740259740256,2.9057401015100643e-05
2271,Alvin and the Chipmunks,02-09-2007,Color,Animation,English,USA,PG,Jesse McCartney,Tim Hill,1000.0,2847,25,0,5.2,131.0,92.0,217326336,60000000,0.46753246753246747,4.7907555124859926e-05
2272,American Gangster,10-04-2007,Color,Biography,English,USA,R,Denzel Washington,Ridley Scott,18000.0,20354,0,0,7.8,300.0,176.0,130127620,100000000,0.805194805194805,0.0006450147720985165
2273,Aqua Teen Hunger Force Colon Movie Film for Theaters,02-08-2007,Color,Action,English,USA,R,Tina Fey,Matt Maiellaro,2000.0,3071,8,307,6.9,82.0,86.0,5518918,750000,0.6883116883116883,0.00026224343641975407
2274,Arnolds Park,28-08-2007,Color,Mystery,English,USA,PG-13,Kendyl Joi,Gene Teigland,23.0,85,0,11,5.6,159.8810418904404,103.0,23616,600000,0.5194805194805193,7.14696739388766e-05
2275,Atonement,20-08-2007,Color,Drama,English,UK,R,Benedict Cumberbatch,Joe Wright,19000.0,20499,456,12000,7.8,316.0,123.0,50921738,30000000,0.805194805194805,0.0006450147720985165
2276,August Rush,20-03-2007,Color,Drama,English,USA,PG,Robin Williams,Kirsten Sheridan,49000.0,50927,59,18000,7.5,148.0,114.0,31655091,30000000,0.7662337662337662,0.0004778386957794468
2277,Awake,08-11-2007,Color,Crime,English,USA,R,Hayden Christensen,Joby Harold,4000.0,6954,8,0,6.5,133.0,84.0,14373825,8600000,0.6363636363636364,0.00017578703237343372
2278,Becoming Jane,22-01-2007,Color,Biography,English,UK,PG,Anne Hathaway,Julian Jarrold,11000.0,12554,11,0,7.1,150.0,120.0,18663911,16500000,0.7142857142857142,0.00032030485655248854
2279,Bee Movie,18-10-2007,Color,Adventure,English,USA,PG,Matthew Broderick,Steve Hickner,2000.0,6576,58,0,6.2,194.0,91.0,126597121,150000000,0.5974025974025973,0.00013022623654180673
2280,Beowulf,13-04-2007,Color,Action,English,USA,PG-13,Robin Wright,Robert Zemeckis,18000.0,31523,0,3000,6.3,287.0,115.0,82161969,150000000,0.6103896103896103,0.00014392224939644498
2281,Blades of Glory,21-03-2007,Color,Comedy,English,USA,PG-13,Will Ferrell,Josh Gordon,8000.0,13232,8,0,6.3,191.0,93.0,118153533,61000000,0.6103896103896103,0.00014392224939644498
2282,Blonde Ambition,18-04-2007,Color,Comedy,English,USA,PG-13,Drew Fuller,Scott Marshall,906.0,4725,7,160,3.9,20.0,93.0,5561,10000000,0.29870129870129863,1.305633189805387e-05
2283,Bridge to Terabithia,13-02-2007,Color,Adventure,English,USA,PG,Josh Hutcherson,Gabor Csupo,14000.0,28071,47,6000,7.2,181.0,96.0,82234139,17000000,0.7272727272727271,0.00035399161238020254
2284,Brooklyn Rules,02-04-2007,Color,Crime,English,USA,R,Jerry Ferrara,Michael Corrente,480.0,1234,30,226,6.4,41.0,99.0,398420,8000000,0.6233766233766234,0.00015905868449698146
2285,Caramel,27-07-2007,Color,Comedy,Arabic,France,PG,Yasmine Al Massri,Nadine Labaki,227.0,231,0,0,7.2,109.0,95.0,1060591,1300000,0.7272727272727271,0.00035399161238020254
2286,Certifiably Jonathan,30-08-2007,Color,Comedy,English,USA,Not Rated,Robin Williams,James David Pasternak,49000.0,54484,0,87,6.2,17.0,85.0,7826,1200000,0.5974025974025973,0.00013022623654180673
2287,Charlie Bartlett,27-10-2007,Color,Comedy,English,USA,R,Robert Downey Jr.,Jon Poll,21000.0,22577,20,0,7.0,146.0,97.0,3950294,12000000,0.7012987012987012,0.0002898238193873322
2288,Charlie Wilson's War,23-04-2007,Color,Biography,English,USA,R,Philip Seymour Hoffman,Mike Nichols,22000.0,60646,0,0,7.1,269.0,102.0,66636385,75000000,0.7142857142857142,0.00032030485655248854
2289,Code Name: The Cleaner,30-10-2007,Color,Action,English,USA,PG-13,Callum Rennie,Les Mayfield,716.0,2700,10,233,4.5,53.0,91.0,8104069,20000000,0.3766233766233766,2.3790187815582257e-05
2290,Control,29-12-2007,Black and White,Biography,English,UK,R,Sam Riley,Anton Corbijn,845.0,2614,210,13000,7.7,183.0,122.0,871577,4500000,0.792207792207792,0.0005836335009806748
2291,Daddy Day Camp,04-03-2007,Color,Comedy,English,USA,PG,Lochlyn Munro,Fred Savage,555.0,1752,0,256,2.9,52.0,89.0,13235267,6000000,0.16883116883116878,4.803156082404936e-06
2292,Death at a Funeral,29-06-2007,Color,Comedy,English,USA,R,Peter Dinklage,Frank Oz,22000.0,24324,0,0,7.4,168.0,87.0,8579684,9000000,0.7532467532467533,0.0004323663317267452
2293,Death Sentence,10-02-2007,Color,Action,English,USA,R,Aisha Tyler,James Wan,856.0,3309,0,0,6.8,166.0,111.0,9525276,20000000,0.6753246753246751,0.00023728767390692747
2294,Diary of the Dead,22-10-2007,Color,Horror,English,USA,R,Megan Park,George A. Romero,569.0,1797,0,0,5.7,280.0,95.0,952620,2000000,0.5324675324675323,7.89862051615955e-05
2295,Disturbia,12-03-2007,Color,Drama,English,USA,PG-13,Sarah Roemer,D.J. Caruso,884.0,2288,154,0,6.9,253.0,105.0,80050171,20000000,0.6883116883116883,0.00026224343641975407
2296,Dragon Wars: D-War,24-05-2007,Color,Action,English,South Korea,PG-13,Robert Forster,Hyung-rae Shim,889.0,3274,26,0,3.6,93.0,107.0,10956379,35000000,0.2597402597402597,9.672368565346227e-06
2297,Eastern Promises,02-05-2007,Color,Crime,English,USA,R,Viggo Mortensen,David Cronenberg,10000.0,17211,0,0,7.7,356.0,96.0,17114882,25000000,0.792207792207792,0.0005836335009806748
2298,Elite Squad,09-03-2007,Color,Action,Portuguese,Brazil,R,Wagner Moura,JosÃ© Padilha,585.0,666,294,11000,8.1,142.0,115.0,8060,4000000,0.844155844155844,0.0008706788711338108
2299,Elizabeth: The Golden Age,16-06-2007,Color,Biography,English,UK,PG-13,Eddie Redmayne,Shekhar Kapur,13000.0,16899,159,0,6.9,202.0,114.0,16264475,55000000,0.6883116883116883,0.00026224343641975407
2300,Enchanted,06-12-2007,Color,Animation,English,USA,PG,Jeff Bennett,Kevin Lima,283.0,662,36,0,7.1,222.0,107.0,127706877,85000000,0.7142857142857142,0.00032030485655248854
2301,Epic Movie,07-10-2007,Color,Adventure,English,USA,PG-13,David Carradine,Jason Friedberg,926.0,4293,82,0,2.3,112.0,93.0,39737645,20000000,0.09090909090909086,2.6360279479996265e-06
2302,Evan Almighty,08-12-2007,Color,Comedy,English,USA,PG,Jimmy Bennett,Tom Shadyac,87000.0,108016,293,2000,5.4,186.0,96.0,100289690,175000000,0.49350649350649345,5.85144199662143e-05
2303,Fantastic 4: Rise of the Silver Surfer,27-02-2007,Color,Action,English,USA,PG,Chris Evans,Tim Story,11000.0,15302,167,0,5.6,262.0,92.0,131920333,130000000,0.5194805194805193,7.14696739388766e-05
2304,Finishing the Game: The Search for a New Bruce Lee,19-07-2007,Color,Comedy,English,USA,Not Rated,Monique Gabriela Curnen,Justin Lin,239.0,734,681,155,6.2,35.0,84.0,52850,500000,0.5974025974025973,0.00013022623654180673
2305,Freedom Writers,05-11-2007,Color,Biography,English,Germany,PG-13,Hunter Parrish,Richard LaGravenese,2000.0,3994,98,10000,7.5,84.0,123.0,36581633,21000000,0.7662337662337662,0.0004778386957794468
2306,Funny Games,27-11-2007,Color,Crime,English,USA,R,Naomi Watts,Michael Haneke,6000.0,6748,0,0,6.5,250.0,111.0,1294640,15000000,0.6363636363636364,0.00017578703237343372
2307,Georgia Rule,23-11-2007,Color,Comedy,English,USA,R,Hector Elizondo,Garry Marshall,995.0,4039,0,681,5.9,88.0,113.0,18882880,20000000,0.5584415584415584,9.647396884097779e-05
2308,Ghost Rider,15-08-2007,Color,Action,English,USA,PG-13,Nicolas Cage,Mark Steven Johnson,12000.0,14017,160,0,5.2,276.0,123.0,115802596,110000000,0.46753246753246747,4.7907555124859926e-05
2309,Good Luck Chuck,28-12-2007,Color,Comedy,English,USA,R,Dane Cook,Mark Helfrich,1000.0,2822,7,0,5.6,127.0,101.0,35000629,25000000,0.5194805194805193,7.14696739388766e-05
2310,Gracie,04-01-2007,Color,Biography,English,USA,PG-13,Emma Bell,Davis Guggenheim,702.0,2007,49,313,6.2,65.0,95.0,2955039,9000000,0.5974025974025973,0.00013022623654180673
2311,Grindhouse,30-03-2007,Color,Action,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000.0,22186,0,0,7.6,250.0,189.0,25031037,53000000,0.7792207792207791,0.0005280934301066412
2312,Hairspray,16-10-2007,Color,Comedy,English,USA,PG,Jerry Stiller,Adam Shankman,719.0,1673,163,0,6.7,219.0,117.0,118823091,75000000,0.6623376623376622,0.00021470676618970307
2313,Hannibal Rising,12-09-2007,Color,Crime,English,UK,R,Li Gong,Peter Webber,879.0,1344,73,3000,6.2,209.0,131.0,27667947,50000000,0.5974025974025973,0.00013022623654180673
2314,Harry Potter and the Order of the Phoenix,21-10-2007,Color,Adventure,English,UK,PG-13,Robert Pattinson,David Yates,21000.0,33433,282,0,7.5,329.0,138.0,292000866,150000000,0.7662337662337662,0.0004778386957794468
2315,Hitman,18-02-2007,Color,Action,English,France,R,Henry Ian Cusick,Xavier Gens,866.0,2124,87,0,6.3,193.0,94.0,39687528,24000000,0.6103896103896103,0.00014392224939644498
2316,Hostel: Part II,13-07-2007,Color,Horror,English,USA,R,Jay Hernandez,Eli Roth,1000.0,4707,0,0,5.4,252.0,94.0,17544812,10000000,0.49350649350649345,5.85144199662143e-05
2317,Hot Fuzz,09-03-2007,Color,Action,English,UK,R,Bill Bailey,Edgar Wright,175.0,485,1000,17000,7.9,285.0,121.0,23618786,8000000,0.8181818181818181,0.0007128515678524725
2318,I Am Legend,26-07-2007,Color,Drama,English,USA,PG-13,Will Smith,Francis Lawrence,10000.0,13076,508,11000,7.2,323.0,104.0,256386216,150000000,0.7272727272727271,0.00035399161238020254
2319,I'm Not There.,05-04-2007,Black and White,Biography,English,USA,R,Christian Bale,Todd Haynes,23000.0,36398,162,0,7.0,231.0,135.0,4001121,20000000,0.7012987012987012,0.0002898238193873322
2320,In the Land of Women,16-01-2007,Color,Comedy,English,USA,PG-13,Kristen Stewart,Jon Kasdan,17000.0,20312,21,1000,6.5,81.0,97.0,11043445,10000000,0.6363636363636364,0.00017578703237343372
2321,In the Name of the King: A Dungeon Siege Tale,24-09-2007,Color,Action,English,Germany,PG-13,Jason Statham,Uwe Boll,26000.0,26564,892,0,3.8,140.0,156.0,4535117,60000000,0.28571428571428564,1.1813857643655603e-05
2322,In the Shadow of the Moon,20-08-2007,Black and White,Documentary,English,UK,PG,John F. Kennedy,David Sington,168.0,408,90,0,8.1,107.0,100.0,1134049,2000000,0.844155844155844,0.0008706788711338108
2323,Into the Wild,01-03-2007,Color,Adventure,English,USA,R,Kristen Stewart,Sean Penn,17000.0,18752,0,76000,8.2,274.0,148.0,18352454,15000000,0.857142857142857,0.0009622489673600217
2324,Juno,12-06-2007,Color,Comedy,English,USA,PG-13,J.K. Simmons,Jason Reitman,24000.0,28817,655,10000,7.5,387.0,96.0,143492840,7500000,0.7662337662337662,0.0004778386957794468
2325,Kiss the Bride,06-12-2007,Color,Comedy,English,USA,R,Tori Spelling,C. Jay Cox,396.0,2310,6,60,5.7,9.0,100.0,31937,500000,0.5324675324675323,7.89862051615955e-05
2326,Knocked Up,29-01-2007,Color,Comedy,English,USA,R,Harold Ramis,Judd Apatow,11000.0,12874,0,0,7.0,251.0,133.0,148734225,30000000,0.7012987012987012,0.0002898238193873322
2327,Lars and the Real Girl,04-02-2007,Color,Comedy,English,USA,PG-13,Ryan Gosling,Craig Gillespie,33000.0,34351,44,19000,7.4,226.0,106.0,5949693,12000000,0.7532467532467533,0.0004323663317267452
2328,License to Wed,21-06-2007,Color,Comedy,English,USA,PG-13,Robin Williams,Ken Kwapis,49000.0,52566,42,913,5.3,120.0,91.0,43792641,35000000,0.4805194805194804,5.2946036680101127e-05
2329,Lions for Lambs,10-01-2007,Color,Drama,English,USA,R,Meryl Streep,Robert Redford,11000.0,32875,0,0,6.2,227.0,92.0,14998070,35000000,0.5974025974025973,0.00013022623654180673
2330,Live Free or Die Hard,25-02-2007,Color,Action,English,USA,PG-13,Bruce Willis,Len Wiseman,13000.0,13961,235,0,7.2,354.0,129.0,134520804,110000000,0.7272727272727271,0.00035399161238020254
2331,Love in the Time of Cholera,17-06-2007,Color,Drama,English,USA,R,Marcela Mar,Mike Newell,267.0,538,179,0,6.4,115.0,139.0,4584886,45000000,0.6233766233766234,0.00015905868449698146
2332,Lucky You,13-05-2007,Color,Drama,English,USA,PG-13,Robert Downey Jr.,Curtis Hanson,21000.0,26334,161,672,5.9,106.0,124.0,5755286,55000000,0.5584415584415584,9.647396884097779e-05
2333,Married Life,26-11-2007,Color,Crime,English,USA,PG-13,David Richmond-Peck,Ira Sachs,60.0,141,60,314,6.3,121.0,91.0,1506998,12000000,0.6103896103896103,0.00014392224939644498
2334,Martian Child,17-08-2007,Color,Comedy,English,USA,PG,Oliver Platt,Menno Meyjes,1000.0,2495,43,0,6.8,118.0,106.0,7486906,27000000,0.6753246753246751,0.00023728767390692747
2335,Michael Clayton,01-09-2007,Color,Crime,English,USA,R,Tom Wilkinson,Tony Gilroy,1000.0,3284,209,0,7.3,299.0,119.0,49024969,25000000,0.7402597402597401,0.0003912212352453071
2336,MoliÃ¨re,25-08-2007,Color,Comedy,French,France,PG-13,Romain Duris,Laurent Tirard,809.0,1651,2,815,7.3,78.0,120.0,634277,16000000,0.7402597402597401,0.0003912212352453071
2337,Mongol: The Rise of Genghis Khan,26-08-2007,Color,Adventure,Mongolian,Russia,R,Tadanobu Asano,Sergey Bodrov,627.0,653,44,0,7.3,160.0,126.0,5701643,20000000,0.7402597402597401,0.0003912212352453071
2338,Mr. Bean's Holiday,25-09-2007,Color,Comedy,English,UK,PG,Lily Atkinson,Steve Bendelack,328.0,794,68,0,6.3,151.0,90.0,32553210,25000000,0.6103896103896103,0.00014392224939644498
2339,My Blueberry Nights,22-06-2007,Color,Drama,English,Hong Kong,PG-13,Natalie Portman,Kar-Wai Wong,20000.0,20364,0,0,6.7,192.0,95.0,866778,10000000,0.6623376623376622,0.00021470676618970307
2340,My Name Is Bruce,26-03-2007,Color,Comedy,English,USA,R,Ted Raimi,Bruce Campbell,634.0,1238,0,0,6.3,100.0,84.0,173066,1500000,0.6103896103896103,0.00014392224939644498
2341,Nancy Drew,02-10-2007,Color,Comedy,English,USA,PG,Kay Panabaker,Andrew Fleming,720.0,3327,26,590,5.9,93.0,99.0,25584685,20000000,0.5584415584415584,9.647396884097779e-05
2342,No Country for Old Men,09-03-2007,Color,Crime,English,USA,R,Kelly Macdonald,Ethan Coen,2000.0,4738,1000,21000,8.1,488.0,122.0,74273505,25000000,0.844155844155844,0.0008706788711338108
2343,No End in Sight,15-06-2007,Color,Documentary,English,USA,Not Rated,Campbell Scott,Charles Ferguson,393.0,446,117,0,8.3,79.0,102.0,1430185,2000000,0.8701298701298702,0.0010634495746746208
2344,No Reservations,10-05-2007,Color,Comedy,English,USA,PG,ZoÃ« Kravitz,Scott Hicks,943.0,3497,96,0,6.3,171.0,104.0,43097652,28000000,0.6103896103896103,0.00014392224939644498
2345,Ocean's Thirteen,10-11-2007,Color,Crime,English,USA,PG-13,Al Pacino,Steven Soderbergh,14000.0,43499,0,0,6.9,238.0,122.0,117144465,85000000,0.6883116883116883,0.00026224343641975407
2346,Once,12-05-2007,Color,Drama,English,Ireland,R,Glen Hansard,John Carney,200.0,332,109,26000,7.9,232.0,85.0,9437933,180000,0.8181818181818181,0.0007128515678524725
2347,P.S. I Love You,22-12-2007,Color,Drama,English,USA,PG-13,Gerard Butler,Richard LaGravenese,18000.0,18726,98,20000,7.1,131.0,126.0,53680848,30000000,0.7142857142857142,0.00032030485655248854
2348,Paranormal Activity,16-12-2007,Color,Horror,English,USA,R,Micah Sloat,Oren Peli,189.0,330,110,12000,6.3,409.0,84.0,107917283,15000,0.6103896103896103,0.00014392224939644498
2349,Persepolis,07-06-2007,Color,Animation,French,France,PG-13,Catherine Deneuve,Vincent Paronnaud,963.0,1754,10,14000,8.0,242.0,89.0,4443403,7300000,0.8311688311688311,0.0007878228216951816
2350,Pirates of the Caribbean: At World's End,23-11-2007,Color,Action,English,USA,PG-13,Johnny Depp,Gore Verbinski,40000.0,48350,563,0,7.1,302.0,169.0,309404152,300000000,0.7142857142857142,0.00032030485655248854
2351,Premonition,22-10-2007,Color,Drama,English,USA,PG-13,Nia Long,Mennan Yapo,826.0,1825,9,0,5.9,184.0,96.0,47852604,20000000,0.5584415584415584,9.647396884097779e-05
2352,Ratatouille,27-03-2007,Color,Animation,English,USA,G,Janeane Garofalo,Brad Bird,1000.0,4764,663,10000,8.0,318.0,111.0,206435493,150000000,0.8311688311688311,0.0007878228216951816
2353,Redacted,22-10-2007,Color,Crime,English,USA,R,Mike Figueroa,Brian De Palma,343.0,408,0,559,6.2,133.0,90.0,65087,5000000,0.5974025974025973,0.00013022623654180673
2354,Reign Over Me,19-08-2007,Color,Drama,English,USA,R,Adam Sandler,Mike Binder,11000.0,17050,57,0,7.5,154.0,124.0,19661987,20000000,0.7662337662337662,0.0004778386957794468
2355,Rendition,12-12-2007,Color,Drama,English,USA,R,J.K. Simmons,Gavin Hood,24000.0,50950,151,0,6.8,131.0,122.0,9664316,27500000,0.6753246753246751,0.00023728767390692747
2356,Reno 911!: Miami,19-06-2007,Color,Comedy,English,USA,R,Wendi McLendon-Covey,Robert Ben Garant,655.0,2737,134,441,5.9,89.0,84.0,20339754,10000000,0.5584415584415584,9.647396884097779e-05
2357,Resident Evil: Extinction,10-11-2007,Color,Action,English,France,R,Milla Jovovich,Russell Mulcahy,14000.0,16225,85,0,6.3,216.0,94.0,50648679,45000000,0.6103896103896103,0.00014392224939644498
2358,Resurrecting the Champ,02-10-2007,Color,Drama,English,USA,PG-13,Harry Lennix,Rod Lurie,748.0,2417,37,689,6.8,104.0,112.0,3169424,13000000,0.6753246753246751,0.00023728767390692747
2359,Rush Hour 3,04-05-2007,Color,Action,English,USA,PG-13,Tzi Ma,Brett Ratner,268.0,1125,420,0,6.2,162.0,91.0,140080850,140000000,0.5974025974025973,0.00013022623654180673
2360,Savage Grace,30-04-2007,Color,Drama,English,Spain,Not Rated,Eddie Redmayne,Tom Kalin,13000.0,15093,4,0,5.9,121.0,97.0,434417,4600000,0.5584415584415584,9.647396884097779e-05
2361,Saw IV,27-07-2007,Color,Horror,English,USA,R,Costas Mandylor,Darren Lynn Bousman,723.0,3492,163,0,5.9,190.0,96.0,63270259,10000000,0.5584415584415584,9.647396884097779e-05
2363,Shooter,23-06-2007,Color,Action,English,USA,R,Tate Donovan,Antoine Fuqua,650.0,1640,845,0,7.2,198.0,124.0,46975183,61000000,0.7272727272727271,0.00035399161238020254
2364,Shrek the Third,16-04-2007,Color,Adventure,English,USA,PG,Justin Timberlake,Chris Miller,3000.0,4705,50,0,6.1,227.0,93.0,320706665,160000000,0.5844155844155844,0.00011783357163302848
2365,Sicko,23-11-2007,Color,Documentary,English,USA,PG-13,Michael Moore,Michael Moore,909.0,1633,909,0,8.0,263.0,123.0,24530513,9000000,0.8311688311688311,0.0007878228216951816
2366,Spider-Man 3,10-02-2007,Color,Action,English,USA,PG-13,J.K. Simmons,Sam Raimi,24000.0,46055,0,0,6.2,392.0,156.0,336530303,258000000,0.5974025974025973,0.00013022623654180673
2367,Stardust,01-11-2007,Color,Adventure,English,UK,PG-13,Henry Cavill,Matthew Vaughn,15000.0,16034,905,15000,7.7,228.0,127.0,38345403,70000000,0.792207792207792,0.0005836335009806748
2368,Stomp the Yard,05-01-2007,Color,Drama,English,USA,PG-13,Chris Brown,Sylvain White,997.0,3544,41,0,5.2,86.0,109.0,61356221,14000000,0.46753246753246747,4.7907555124859926e-05
2369,Sunshine,05-04-2007,Color,Adventure,English,UK,R,Chris Evans,Danny Boyle,11000.0,11623,0,15000,7.3,308.0,107.0,3675072,26000000,0.7402597402597401,0.0003912212352453071
2370,Superbad,22-02-2007,Color,Comedy,English,USA,R,Emma Stone,Greg Mottola,15000.0,17584,99,0,7.6,256.0,119.0,121463226,20000000,0.7792207792207791,0.0005280934301066412
2371,Surf's Up,25-03-2007,Color,Animation,English,USA,PG,Jeff Bridges,Ash Brannon,12000.0,25590,9,0,6.8,154.0,85.0,58867694,100000000,0.6753246753246751,0.00023728767390692747
2372,Sydney White,19-09-2007,Color,Comedy,English,USA,PG-13,Danny Strong,Joe Nussbaum,714.0,2785,18,0,6.3,72.0,108.0,11702090,16500000,0.6103896103896103,0.00014392224939644498
2373,Ta Ra Rum Pum,24-02-2007,Color,Comedy,Hindi,USA,Not Rated,Saif Ali Khan,Siddharth Anand,532.0,902,5,108,5.4,16.0,153.0,872643,6000000,0.49350649350649345,5.85144199662143e-05
2374,Taxi to the Dark Side,24-12-2007,Color,Crime,English,USA,R,Alex Gibney,Alex Gibney,141.0,313,141,0,7.7,84.0,53.0,274661,1000000,0.792207792207792,0.0005836335009806748
2375,The Assassination of Jesse James by the Coward Robert Ford,18-04-2007,Color,Biography,English,USA,R,Brad Pitt,Andrew Dominik,11000.0,22516,181,0,7.5,273.0,160.0,3904982,30000000,0.7662337662337662,0.0004778386957794468
2376,The Bourne Ultimatum,09-04-2007,Color,Action,English,USA,PG-13,Matt Damon,Paul Greengrass,13000.0,17369,521,0,8.1,329.0,115.0,227137090,110000000,0.844155844155844,0.0008706788711338108
2377,The Brothers Solomon,26-06-2007,Color,Comedy,English,USA,R,Jenna Fischer,Bob Odenkirk,966.0,3307,0,319,5.3,51.0,93.0,900926,10000000,0.4805194805194804,5.2946036680101127e-05
2378,The Bucket List,26-08-2007,Color,Adventure,English,USA,PG-13,Morgan Freeman,Rob Reiner,11000.0,14868,0,22000,7.4,207.0,97.0,93452056,45000000,0.7532467532467533,0.0004323663317267452
2379,The Game Plan,26-11-2007,Color,Comedy,English,USA,PG,Dwayne Johnson,Andy Fickman,12000.0,15170,99,0,6.2,112.0,110.0,90636983,22000000,0.5974025974025973,0.00013022623654180673
2380,The Golden Compass,28-01-2007,Color,Adventure,English,USA,PG-13,Christopher Lee,Chris Weitz,16000.0,24106,129,0,6.1,251.0,113.0,70083519,180000000,0.5844155844155844,0.00011783357163302848
2381,The Good Night,24-03-2007,Color,Comedy,English,USA,R,Stephen Graham,Jake Paltrow,1000.0,1245,17,445,5.9,50.0,93.0,20380,15000000,0.5584415584415584,9.647396884097779e-05
2382,The Great Debaters,12-07-2007,Color,Biography,English,USA,PG-13,Denzel Washington,Denzel Washington,18000.0,22745,18000,0,7.6,112.0,126.0,30226144,15000000,0.7792207792207791,0.0005280934301066412
2383,The Hammer,26-10-2007,Color,Comedy,English,USA,R,John Enos III,Charles Herman-Wurmfeld,465.0,897,0,337,7.3,73.0,88.0,442638,850000,0.7402597402597401,0.0003912212352453071
2384,The Hills Have Eyes II,26-03-2007,Color,Horror,English,USA,R,Jeff Kober,Martin Weisz,919.0,2559,7,0,5.1,161.0,89.0,20801344,15000000,0.4545454545454544,4.334854848359364e-05
2385,The Hunting Party,23-04-2007,Color,Adventure,English,USA,R,James Brolin,Richard Shepard,499.0,504,47,0,6.9,94.0,101.0,876671,25000000,0.6883116883116883,0.00026224343641975407
2386,The Invasion,05-04-2007,Color,Sci-Fi,English,USA,PG-13,Roger Rees,Oliver Hirschbiegel,1000.0,2323,101,0,5.9,232.0,99.0,15071514,80000000,0.5584415584415584,9.647396884097779e-05
2387,The Kingdom,02-11-2007,Color,Action,English,USA,R,Jennifer Garner,Peter Berg,3000.0,5187,532,0,7.1,234.0,110.0,47456450,70000000,0.7142857142857142,0.00032030485655248854
2388,The Kite Runner,17-06-2007,Color,Drama,Dari,USA,PG-13,Mustafa Haidari,Marc Forster,283.0,904,395,0,7.6,201.0,128.0,15797907,20000000,0.7792207792207791,0.0005280934301066412
2389,The Last Legion,18-04-2007,Color,Action,English,UK,PG-13,Colin Firth,Doug Lefler,14000.0,14625,4,0,5.4,90.0,102.0,5932060,35000000,0.49350649350649345,5.85144199662143e-05
2390,The Last Sin Eater,15-10-2007,Color,Drama,English,USA,PG-13,Henry Thomas,Michael Landon Jr.,861.0,2161,84,285,5.9,18.0,117.0,379643,2200000,0.5584415584415584,9.647396884097779e-05
2391,The Legend of God's Gun,13-08-2007,Color,Western,English,USA,R,Joseph Campanella,Mike Bruce,32.0,72,6,13,4.1,3.0,78.0,243768,30000,0.32467532467532456,1.59470397917376e-05
2392,The Life Before Her Eyes,13-07-2007,Color,Drama,English,USA,R,Eva Amurri Martino,Vadim Perelman,797.0,2073,26,1000,6.4,78.0,90.0,303439,8000000,0.6233766233766234,0.00015905868449698146
2393,The Living Wake,22-08-2007,Color,Comedy,English,USA,PG-13,Jim Gaffigan,Sol Tryon,472.0,1047,0,339,6.5,28.0,91.0,12055,500000,0.6363636363636364,0.00017578703237343372
2394,The Mist,02-06-2007,Color,Horror,English,USA,R,Toby Jones,Frank Darabont,2000.0,5371,0,20000,7.2,330.0,126.0,25592632,18000000,0.7272727272727271,0.00035399161238020254
2395,The Number 23,06-12-2007,Color,Mystery,English,USA,R,Logan Lerman,Joel Schumacher,8000.0,10938,541,10000,6.4,224.0,98.0,35063732,32000000,0.6233766233766234,0.00015905868449698146
2396,The Orphanage,07-06-2007,Color,Drama,Spanish,Spain,R,Geraldine Chaplin,J.A. Bayona,382.0,954,171,11000,7.5,300.0,105.0,7159147,3400000,0.7662337662337662,0.0004778386957794468
2397,The Reaping,22-08-2007,Color,Horror,English,USA,R,Stephen Rea,Stephen Hopkins,327.0,960,81,0,5.7,190.0,99.0,25117498,40000000,0.5324675324675323,7.89862051615955e-05
2398,The Simpsons Movie,22-08-2007,Color,Adventure,English,USA,PG-13,Albert Brooks,David Silverman,745.0,3086,30,0,7.4,299.0,87.0,183132370,75000000,0.7532467532467533,0.0004323663317267452
